models,test_rmsle,train_rmsle
Random_Forest,0.12398412383471676,0.08510291530311877
lightGBM,0.13269484038003138,0.13010578578114196
xgboost,0.13324492808801608,0.13048631235778588
Random_Forest_grid_search,0.12348688054761088,0.08226654940478031
LightGBM_grid_search,0.12434819235520246,0.11736580023901448
XGboost_grid_search,0.13290032181880365,0.13016485339146336
hybrid_regrission,0.1268976426830486,0.11265228546719357
hybrid_regrission_grid_search,0.1277377153153815,0.11215211611149535
stack_generation,0.12449993809613574,0.10073863522682393
stack_generation_grid_search,0.12505595611281453,0.09877336119821459
